Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Province,City,Country,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Shipping Cost,Profit
ZA-2024-103595,2024-12-20,2024-12-24,Second Class,Naledi Mokoena,Corporate,Free State,Welkom,South Africa,Furniture,Office Chairs,Office Chairs - Standard 158,1,1046.16,0.12,924.07,175.39,27.36
ZA-2023-102404,2023-10-04,2023-10-07,Same Day,Kagiso Naidoo,Consumer,Western Cape,Paarl,South Africa,TECHNOLOGY,Networking,Networking - Basic 196,2,3935.89,0.03,R7612.58,144.98,1461.54
ZA-2023-106449,20-May-2023,2023-05-23,Second Class,Kagiso Du Toit,Consumer,Gauteng,Johannesburg,South Africa,Furniture,Storage Cabinets,Storage Cabinets - Lite 140,1,6422.14,0.3,"R 4,495.50",231.45,-665.13
ZA-2022-105312,2022-12-28,2022-12-30,Standard Class,Kagiso Naidoo,Consumer,Eastern Cape,Gqeberha,South Africa,Office Supplies,  Stationery  ,Stationery - Pro 374,3,235.32,0.25,529.85,143.66,81.69
ZA-2024-104122,2024-02-15,17-Feb-2024,Standard Class,Annelie Sithole,Corporate,Gauteng,Midrand,South Africa,Office Supplies,Stationery,Stationery - Lite 558,4,127.58,0.05,484.8,100.97,134.23
ZA-2024-106149,2024-01-01,2024-01-03,Same Day,dineo maseko,Consumer,Western Cape,George,South Africa,Technology,Smartphones,Smartphones - Pro 296,4,13345.2,0.24,40774.21,977.95,3624.64
ZA-2023-101613,07/20/2023,2023-07-25,Same Day,Tshepo Mahlangu,Consumer,Mpumalanga,Mbombela,South Africa,Office Supplies,Stationery,Stationery - Plus 651,4,246.26,0.0,985.03,86.71,237.11
ZA-2022-104651,2022-06-16,2022-06-18,First Class,Tshepo Mokwena,CONSUMER,KwaZulu-Natal,Pietermaritzburg,South Africa,TECHNOLOGY,Networking,Networking - Pro 650,2,1796.31,0.13,3141.73,92.18,395.41
ZA-2023-105795,08/22/2023,2023-08-25,Second Class,Naledi Mokoena,Corporate,,Welkom,South Africa,Office Supplies,  Binders  ,Binders - Lite 104,3,187.27,0.1,505.62,163.25,101.66
ZA-2022-101444,12.12.2022,2022-12-19,Second Class,Nomvula Fourie,Consumer,Gauteng,Soweto,South Africa,Office Supplies,Stationery,Stationery - Pro 729,5,262.43,0.23,1014.4,81.85,186.01
ZA-2022-105334,05.05.2022,2022-05-09,Standard Class,Bongani Mahlangu,Corporate,Kwazulu Natal,Pietermaritzburg,South Africa,Technology,Laptops,Laptops - Pro 614,1,9487.51,0.1,"R 8,538.76",299.71,1453.42
ZA-2022-101595,2022-10-01,2022-10-03,Same Day,Riaan Steyn,Consumer,Northern Cape,Upington,South Africa,Technology,Monitors,Monitors - Basic 996,4,6612.43,0.13,22994.31,475.23,2775.23
ZA-2023-101734,2023-09-28,2023-10-05,Second Class,mpho pretorius,Corporate,Eastern Cape,Gqeberha,South Africa,Technology,Laptops,Laptops - Plus 897,3,3820.73,N/A,10315.96,238.09,1722.0
ZA-2023-104101,25.07.2023,26/07/2023,First Class,Sibusiso Fourie,Home Office,Eastern Cape,East London,South Africa,Office Supplies,Labels,Labels - Standard 190,1,51.18,0.15,R43.51,26.24,8.62
ZA-2024-100539,2024-08-26,2024-08-28,Standard Class,Annelie Khumalo,Consumer,N/A,Rustenburg,South Africa,Office Supplies,  Labels  ,Labels - Lite 170,6,96.7,,522.17,208.6,148.09
ZA-2024-100823,04/04/2024,04/11/2024,First Class,Wendy Naidoo,Consumer,KwaZulu-Natal,Pietermaritzburg,South Africa,Technology,Monitors,Monitors - Pro 572,1,6165.9,0.45,3391.24,217.63,-99.37
ZA-2023-101393,12/04/2023,13/04/2023,Second Class,Francois Steyn,Home Office,KwaZulu-Natal,Durban,South Africa,Technology,Smartphones,Smartphones - Basic 377,2,9599.32,0.05,18238.71,316.84,3684.64
ZA-2022-103576,08/13/2022,2022-08-15,Standard Class,Dineo Dlamini,Corporate,Mpumalanga,Witbank,South Africa,Office Supplies,Paper,Paper - Basic 621,8,16.88,0.45,74.28,145.93,3.35
ZA-2023-100735,2023-08-29,,First Class,Riaan Radebe,Consumer,LP,Polokwane,South Africa,Office Supplies,Stationery,Stationery - Plus 901,6,22.04,0.0,132.22,177.58,35.6
ZA-2024-100947,2024-06-07,2024-06-08,Standard Class,Rudzani Nkosi,Corporate,Mpumalanga,Witbank,South Africa,Technology,Networking,Networking - Pro 229,5,988.41,0.05,4698.3,151.04,814.48
ZA-2023-100644,2023-07-19,2023-07-21,Second Class,Wendy Botha,Corporate,LP,Polokwane,South Africa,Furniture,  Office Chairs  ,Office Chairs - Basic 363,1,3056.85,0.1,2751.16,90.2,113.47
ZA-2022-102951,2022-10-08,2022-10-13,Standard Class,Bongani Mokwena,Home Office,Western Cape,George,South Africa,Technology,Smartphones,Smartphones - Standard 173,3,8047.6,0.51,11718.74,499.37,-772.6
ZA-2022-100903,08/22/2022,2022-08-27,Standard Class,Sipho Van der Merwe,Consumer,Limpopo,Tzaneen,South Africa,Furniture,Desks,Desks - Standard 372,1,936.75,0.05,889.91,154.62,56.97
ZA-2024-102405,2024-06-03,07-Jun-2024,Second Class,Johan Mahlangu,Consumer,mpumalanga,Witbank,South Africa,office supplies,Labels,Office Supplies item - reused order id,3,157.0,0.03,458.67,167.49,147.21
ZA-2023-105407,2023-09-16,17-Sep-2023,Second Class,Dineo Zulu,Consumer,Western Cape,Stellenbosch,South Africa,technology,  Smartphones  ,Smartphones - Standard 871,3,14092.76,0.0,42278.27,756.12,9896.26
ZA-2024-102981,13-May-2024,05/18/2024,Second Class,Karabo Nkosi,Consumer,Mpumalanga,Witbank,South Africa,Furniture,Desks,Desks - Basic 560,5,9120.9,0.3,31923.15,811.57,NaN
ZA-2022-105052,09-Jul-2022,2022-07-13,Standard Class,Precious Du Toit,Consumer,Free State,Welkom,South Africa,TECHNOLOGY,Accessories,Accessories - Standard 358,2,662.72,0.15,1126.62,144.33,180.63
